word,mi
great,0.011115694832431359
bad,0.008825706715062605
love,0.0074753866934254825
just,0.006764317065961835
didn,0.005878591597978766
minutes,0.004979435032913119
loved,0.004521026193158951
better,0.003325880709713506
don,0.0032274907292804064
did,0.003201069289114228
excellent,0.0030214427005854643
like,0.0029346707950900753
plot,0.0028889427184514435
enjoyed,0.002534320432626703
wonderful,0.0022950476309109577
series,0.002108643799937277
br,0.001980653824598325
acting,0.0018556986732291474
movie,0.0017059676621969072
favorite,0.0015375792910688048
pretty,0.0014812752409256768
stars,0.0014493100203766347
doesn,0.0014486311291418157
classic,0.001307753281218108
fun,0.0012663924751609983
way,0.0012399909532050763
season,0.0011957372550241456
thought,0.001174151576762639
make,0.0011068011427303958
film,0.0010763864475359707
family,0.001041386828118989
going,0.0010201491819877924
character,0.000983599497434882
people,0.0008029077092508862
really,0.0007752319596585933
know,0.0007671603784500648
scenes,0.0007630360870671673
think,0.000734931370687597
recommend,0.0007043828027108292
end,0.0006847331551827999
little,0.0006526016214655022
original,0.000588663301569075
actually,0.0005872982233600464
got,0.0005267822343972429
time,0.0005111853273932782
say,0.0005033645160820589
actors,0.00045353011667203743
interesting,0.00044859754207254464
bit,0.0003954733392307013
best,0.00036651846470490653
want,0.0003495717461332351
video,0.0003435802871675735
episode,0.0003244146385754688
shows,0.00031673880071492807
book,0.0003021045551890788
does,0.0002924048551860384
enjoy,0.00029123826691189794
story,0.0002899019867170573
amazon,0.0002881842049276033
lot,0.00028118275523290393
watching,0.00027999970292583783
kids,0.00026310081684318635
dvd,0.00026305899816614304
funny,0.00026077807894678935
work,0.0002586571775020827
cast,0.00023422826713987756
long,0.0002226184099471203
life,0.00022024563642625508
things,0.00021988371109753785
real,0.00021742737621049626
characters,0.00018236852207353889
years,0.00018215766511570108
right,0.00016783778954614802
good,0.0001597577233571485
action,0.00015476893375578966
tv,0.0001504938532362478
day,0.00014426888468372707
feel,0.00014414672069565308
workout,0.00012359069722418906
worth,0.00011825945891352308
yoga,0.00010939103214577128
ve,0.0001081269003512866
set,0.00010249644526232574
nice,9.53801951429674e-05
moves,9.076094207323885e-05
movies,8.732636250698852e-05
man,8.620395790831956e-05
seen,7.986557139403496e-05
world,6.850781114140059e-05
watch,6.609624175052553e-05
times,6.469521639764262e-05
music,6.164209747616102e-05
new,5.840547664418801e-05
different,5.680161392157014e-05
old,2.8972767530231476e-05
watched,2.6927417187311926e-05
fan,2.6823140906392833e-05
episodes,2.5499250487668538e-05
makes,1.3151428497134215e-05
liked,1.0483207715615813e-05
